127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001391
127.0.0.1, 2017-08-06 18:50:16, GET, /applications/admin/static/index.html, HTTP/1.1, 404, 0.000415
127.0.0.1, 2017-08-06 18:56:30, GET, /, HTTP/1.1, 303, 0.003680
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.145951
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000526
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000425
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000548
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000317
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000399
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000461
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000427
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000403
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000424
127.0.0.1, 2017-08-06 18:56:50, GET, /admin/static/index.html, HTTP/1.1, 200, 0.000450
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/hello, HTTP/1.1, 303, 0.181973
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/default/index, HTTP/1.1, 200, 0.065825
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/js/jquery.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/css/calendar.css, HTTP/1.1, 200, 0.001064
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/js/calendar.js, HTTP/1.1, 200, 0.000698
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/js/web2py.js, HTTP/1.1, 200, 0.001375
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000739
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.028976
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.027853
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.029239
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.030906
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.031929
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.004380
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005106
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003115
127.0.0.1, 2017-08-06 19:02:20, GET, /admin/static/_2.15.2/images/questions.png, HTTP/1.1, 200, 0.000510
127.0.0.1, 2017-08-06 19:02:27, POST, /admin/default/index, HTTP/1.1, 303, 0.059189
127.0.0.1, 2017-08-06 19:02:27, GET, /admin/hello, HTTP/1.1, 200, 0.004029
